run_id,is_synthetic,remaining_min,start_weight_g,elapsed_smoking_min,oven_temp_c,oven_deg_h,dht11_temp_c,dht11_humidity_pct,mq6_adc,mq6_ratio,weight_corrected_g,weight_smooth_g,weight_loss_from_start_g,moisture_removed_frac,drying_rate_g_per_min
catfish_3342g,0,28.833333333333332,3342.3,0.0,28.25,0.0,30.1,53.0,687.0,18.22,3342.3,3336.9,0.0,0.0,0.0
catfish_3342g,0,28.75,3342.3,0.08333333333333333,28.25,0.03923611111111111,30.1,53.1,688.0,18.26,3340.9,3338.8,1.400000000000091,0.0004188732310086141,0.0
catfish_3342g,0,28.666666666666664,3342.3,0.16666666666666666,28.25,0.07847222222222222,30.2,53.1,687.0,18.13,3344.2,3339.8500000000004,-1.8999999999996362,-0.0005684708135115448,0.0
catfish_3342g,0,28.583333333333332,3342.3,0.25,28.0,0.11736111111111111,30.2,53.1,691.0,18.16,3332.9,3340.9,9.400000000000091,0.002812434551057682,0.0
catfish_3342g,0,28.5,3342.3,0.3333333333333333,28.75,0.15729166666666666,30.2,53.1,693.0,17.88,3329.5,3341.6000000000004,12.800000000000182,0.003829698112078563,12.599999999999454
catfish_3342g,0,28.416666666666664,3342.3,0.4166666666666667,28.25,0.19652777777777777,30.2,53.1,692.0,17.78,3332.9,3342.3,9.400000000000091,0.002812434551057682,12.599999999996724
catfish_3342g,0,28.333333333333332,3342.3,0.5,28.5,0.2361111111111111,30.2,53.1,719.0,17.27,3338.8,3343.25,3.5,0.0010471830775214673,11.999999999997272
catfish_3342g,0,28.25,3342.3,0.5833333333333334,28.75,0.2760416666666667,30.2,53.1,695.0,18.07,3392.6,3367.95,-50.29999999999973,-0.015049516799808432,12.599999999996724
catfish_3342g,0,28.166666666666664,3342.3,0.6666666666666666,28.25,0.31527777777777777,30.2,53.1,691.0,17.63,3392.6,3391.75,-50.29999999999973,-0.015049516799808432,12.599999999999454
catfish_3342g,0,28.083333333333332,3342.3,0.75,28.75,0.35520833333333335,30.3,53.1,693.0,17.97,3392.2,3392.0,-49.899999999999636,-0.014929838733805953,12.599999999996724
catfish_3342g,0,28.0,3342.3,0.8333333333333334,28.75,0.39513888888888893,30.3,53.1,699.0,17.91,3391.8,3392.0,-49.5,-0.014810160667803607,11.999999999997272
catfish_3342g,0,27.916666666666664,3342.3,0.9166666666666666,29.5,0.43611111111111117,30.3,53.1,699.0,17.78,3392.7,3392.0,-50.399999999999636,-0.015079436316309019,11.399999999997819
catfish_3342g,0,27.833333333333332,3342.3,1.0,31.25,0.47951388888888896,30.3,53.1,701.0,17.57,3391.7,3392.0,-49.399999999999636,-0.014780241151302885,9.900000000000547
catfish_3342g,0,27.75,3342.3,1.0833333333333333,34.75,0.5277777777777779,30.3,53.1,705.0,17.63,3392.5,3392.0,-50.19999999999982,-0.015019597283307847,8.400000000003276
catfish_3342g,0,27.666666666666664,3342.3,1.1666666666666667,38.75,0.5815972222222223,30.3,53.1,706.0,17.42,3392.3,3391.75,-50.0,-0.014959758250306675,8.400000000000546
catfish_3342g,0,27.583333333333332,3342.3,1.25,43.25,0.6416666666666667,30.4,53.1,705.0,17.57,3388.9,3391.55,-46.59999999999991,-0.013942494689285793,8.399999999997814
catfish_3342g,0,27.5,3342.3,1.3333333333333333,48.75,0.7093750000000001,30.4,53.2,707.0,17.48,3391.4,3390.8,-49.09999999999991,-0.014690482601801128,5.699999999998906
catfish_3342g,0,27.416666666666664,3342.3,1.4166666666666667,54.75,0.7854166666666668,30.4,53.2,718.0,17.78,3390.2,3389.7,-47.899999999999636,-0.014331448403793684,2.9999999999999987
catfish_3342g,0,27.333333333333332,3342.3,1.5,61.25,0.8704861111111112,30.4,53.2,709.0,17.1,3389.2,3389.05,-46.899999999999636,-0.014032253238787552,1.4999999999999993
catfish_3342g,0,27.25,3342.3,1.5833333333333333,69.0,0.9663194444444445,30.5,53.2,709.0,17.36,3387.5,3388.2,-45.19999999999982,-0.01352362145827718,0.0
catfish_3342g,0,27.166666666666664,3342.3,1.6666666666666667,77.0,1.073263888888889,30.5,53.2,709.0,17.48,3387.1,3387.3,-44.79999999999973,-0.013403943392274699,0.0
catfish_3342g,0,27.083333333333332,3342.3,1.75,85.25,1.1916666666666669,30.6,53.3,709.0,17.36,3384.7,3385.8999999999996,-42.399999999999636,-0.012685874996259951,0.0
catfish_3342g,0,27.0,3342.3,1.8333333333333333,94.5,1.322916666666667,30.7,53.3,708.0,17.57,3383.9,3384.3,-41.59999999999991,-0.012446518864255126,0.0
catfish_3342g,0,26.916666666666664,3342.3,1.9166666666666667,103.0,1.4659722222222225,30.7,53.3,710.0,17.51,3376.3,3381.95,-34.0,-0.01017263561020854,0.0
catfish_3342g,0,26.833333333333332,3342.3,2.0,112.25,1.6218750000000002,30.8,53.3,713.0,17.42,3380.0,3379.0,-37.69999999999982,-0.011279657720731178,0.0
catfish_3342g,0,26.75,3342.3,2.0833333333333335,121.75,1.7909722222222224,30.9,53.4,709.0,17.36,3378.0,3377.15,-35.69999999999982,-0.010681267390718912,-1.1999999999989097
catfish_3342g,0,26.666666666666664,3342.3,2.1666666666666665,130.5,1.9722222222222223,31.0,53.4,718.0,17.66,3374.6,3375.45,-32.29999999999973,-0.00966400382969803,-2.699999999998907
catfish_3342g,0,26.583333333333332,3342.3,2.25,140.25,2.167013888888889,31.0,53.2,714.0,17.1,3373.6,3374.1,-31.299999999999727,-0.009364808664691896,-5.399999999997818
catfish_3342g,0,26.5,3342.3,2.3333333333333335,149.75,2.375,31.1,53.2,715.0,16.54,3372.2,3372.8999999999996,-29.899999999999636,-0.008945935433683282,-8.399999999997824
catfish_3342g,0,26.416666666666664,3342.3,2.4166666666666665,158.5,2.595138888888889,31.3,53.3,720.0,17.1,3370.4,3371.3,-28.09999999999991,-0.008407384136672323,-9.600000000002192
catfish_3342g,0,26.333333333333332,3342.3,2.5,167.25,2.827430555555556,31.4,53.3,720.0,17.1,3365.8,3368.1000000000004,-23.5,-0.007031086377644137,-10.499999999999995
catfish_3342g,0,26.25,3342.3,2.5833333333333335,176.5,3.072569444444445,31.6,53.4,719.0,17.1,3364.3,3365.05,-22.0,-0.006582293630134937,-11.999999999999979
catfish_3342g,0,26.166666666666664,3342.3,2.6666666666666665,185.25,3.3298611111111116,31.7,53.5,720.0,17.1,3360.0,3362.15,-17.699999999999818,-0.005295754420608508,-13.800000000003795
catfish_3342g,0,26.083333333333332,3342.3,2.75,193.0,3.5979166666666673,31.9,53.5,730.0,16.76,3357.6,3358.8,-15.299999999999727,-0.00457768602459376,-15.300000000001065
catfish_3342g,0,26.0,3342.3,2.8333333333333335,201.75,3.8781250000000007,32.0,53.6,733.0,16.93,3356.1,3356.85,-13.799999999999727,-0.004128893277084561,-16.50000000000272
catfish_3342g,0,25.916666666666664,3342.3,2.9166666666666665,209.0,4.168402777777779,32.1,53.4,736.0,16.65,3351.9,3354.0,-9.599999999999909,-0.002872273584058854,-18.000000000000014
catfish_3342g,0,25.75,3342.3,3.0833333333333335,223.75,4.789930555555556,32.6,53.6,746.0,16.51,3344.2,3348.05,-1.8999999999996362,-0.0005684708135115448,-19.199999999993494
catfish_3342g,0,25.666666666666664,3342.3,3.1666666666666665,231.25,5.111111111111112,32.8,53.6,752.0,16.22,3341.4,3342.8,0.900000000000091,0.00026927564850554736,-19.799999999998434
catfish_3342g,0,25.583333333333332,3342.3,3.25,237.75,5.441319444444445,33.0,53.5,751.0,16.14,3338.9,3340.15,3.400000000000091,0.001017263561020881,-21.300000000001106
