run_id,is_synthetic,remaining_min,start_weight_g,elapsed_smoking_min,oven_temp_c,oven_deg_h,dht11_temp_c,dht11_humidity_pct,mq6_adc,mq6_ratio,weight_corrected_g,weight_smooth_g,weight_loss_from_start_g,moisture_removed_frac,drying_rate_g_per_min
tuna_2379g,0,29.666666666666668,2379.7,0.0,32.0,0.0,32.0,81.8,1088.0,10.12,2379.7,2378.6499999999996,0.0,0.0,0.0
tuna_2379g,0,29.583333333333336,2379.7,0.08333333333333333,32.0,0.044444444444444446,32.1,81.7,1072.0,10.35,2377.9,2378.6,1.7999999999997272,0.0007563978652770212,0.0
tuna_2379g,0,29.5,2379.7,0.16666666666666666,32.25,0.08923611111111111,32.1,81.7,1072.0,10.57,2377.8,2378.3,1.8999999999996362,0.0007984199689034905,0.0
tuna_2379g,0,29.416666666666668,2379.7,0.25,32.5,0.134375,32.1,81.7,1041.0,10.76,2378.6,2378.6,1.099999999999909,0.0004622431398915448,0.0
tuna_2379g,0,29.333333333333336,2379.7,0.3333333333333333,31.5,0.178125,32.2,81.7,1023.0,11.01,2380.1,2378.6499999999996,-0.40000000000009095,-0.0001680884145060684,5.551115123125783e-17
tuna_2379g,0,29.25,2379.7,0.4166666666666667,31.25,0.22152777777777777,32.2,81.6,1011.0,11.19,2378.7,2378.6,1.0,0.00042022103626507544,-0.5999999999967256
tuna_2379g,0,29.166666666666668,2379.7,0.5,32.0,0.2659722222222222,32.3,81.6,1001.0,11.33,2377.6,2378.6499999999996,2.099999999999909,0.0008824641761566202,1.6653345369377348e-16
tuna_2379g,0,29.083333333333336,2379.7,0.5833333333333334,31.25,0.309375,32.4,81.5,991.0,11.52,2378.0,2378.6,1.699999999999818,0.0007143757616505518,-0.5999999999967256
tuna_2379g,0,29.0,2379.7,0.6666666666666666,31.5,0.353125,32.4,81.5,981.0,11.69,2378.7,2378.6,1.0,0.00042022103626507544,-0.2999999999983628
tuna_2379g,0,28.916666666666668,2379.7,0.75,31.75,0.39722222222222225,32.5,81.4,972.0,11.8,2378.7,2378.6,1.0,0.00042022103626507544,0.0
tuna_2379g,0,28.833333333333336,2379.7,0.8333333333333334,31.75,0.4413194444444445,32.5,81.3,963.0,11.97,2378.6,2378.55,1.099999999999909,0.0004622431398915448,-0.2999999999983628
tuna_2379g,0,28.75,2379.7,0.9166666666666666,31.75,0.4854166666666667,32.5,81.1,950.0,12.12,2379.2,2378.55,0.5,0.00021011051813253772,0.0
tuna_2379g,0,28.666666666666668,2379.7,1.0,32.0,0.5298611111111111,32.6,81.0,945.0,12.24,2378.5,2378.55,1.199999999999818,0.0005042652435180141,0.0
tuna_2379g,0,28.583333333333336,2379.7,1.0833333333333333,31.5,0.5736111111111111,32.6,80.9,942.0,12.34,2377.8,2378.6499999999996,1.8999999999996362,0.0007984199689034905,0.0
