run_id,is_synthetic,session,timestamp,elapsed_smoking_min,remaining_min,remaining_min_from_heat,remaining_min_from_weight,remaining_min_gated,start_weight_g,dht11_temp_c,dht11_humidity_pct,oven_temp_c,mq6_adc,mq6_ratio,weight_g,weight_corrected_g,weight_smooth_g,weight_loss_from_start_g,moisture_removed_frac,target_loss_frac,weight_progress_frac,drying_rate_g_per_min,oven_deg_h,target_oven_deg_h,heat_progress_frac,target_hours
tuna_2379g,0,tuna_main,2026-08-26 11:07:36.000000,0.0,29.666666666666668,124.53463541666675,2399.999999999991,2399.999999999991,2379.7,32.0,81.8,32.0,1088.0,10.12,2379.7,2379.7,2378.6499999999996,0.0,0.0,0.05042652435180887,0.0,0.0,0.0,166.04618055555565,0.0,0.49444444444444446
tuna_2379g,0,tuna_main,2026-08-26 11:07:41.000000,0.08333333333333333,29.583333333333336,124.5013020833334,2363.9999999999964,2363.9999999999964,2379.7,32.1,81.7,32.0,1072.0,10.35,2377.9,2377.9,2378.6,1.7999999999997272,0.0007563978652770212,0.05042652435180887,0.014999999999997782,0.0,0.044444444444444446,166.04618055555565,0.000267663154284806,0.49444444444444446
tuna_2379g,0,tuna_main,2026-08-26 11:07:46.000000,0.16666666666666666,29.5,124.4677083333334,2361.999999999998,2361.999999999998,2379.7,32.1,81.7,32.25,1072.0,10.57,2377.8,2377.8,2378.3,1.8999999999996362,0.0007984199689034905,0.05042652435180887,0.01583333333333036,0.0,0.08923611111111111,166.04618055555565,0.000537417426962462,0.49444444444444446
tuna_2379g,0,tuna_main,2026-08-26 11:07:51.000000,0.25,29.416666666666668,124.43385416666673,2377.9999999999927,2377.9999999999927,2379.7,32.1,81.7,32.5,1041.0,10.76,2378.6,2378.6,2378.6,1.099999999999909,0.0004622431398915448,0.05042652435180887,0.009166666666665943,0.0,0.134375,166.04618055555565,0.0008092628180329681,0.49444444444444446
tuna_2379g,0,tuna_main,2026-08-26 11:07:56.000000,0.3333333333333333,29.333333333333336,124.40104166666673,2407.9999999999927,2407.9999999999927,2379.7,32.2,81.7,31.5,1023.0,11.01,2380.1,2380.1,2378.6499999999996,-0.40000000000009095,-0.0001680884145060684,0.05042652435180887,0.0,5.551115123125783e-17,0.178125,166.04618055555565,0.001072743735532074,0.49444444444444446
tuna_2379g,0,tuna_main,2026-08-26 11:08:01.000000,0.4166666666666667,29.25,124.36848958333341,198.33333333441496,198.33333333441496,2379.7,32.2,81.6,31.25,1011.0,11.19,2378.7,2378.7,2378.6,1.0,0.00042022103626507544,0.05042652435180887,0.008333333333333364,-0.5999999999967256,0.22152777777777777,166.04618055555565,0.0013341335346383299,0.49444444444444446
tuna_2379g,0,tuna_main,2026-08-26 11:08:06.000000,0.5,29.166666666666668,124.33515625000008,2357.9999999999927,2357.9999999999927,2379.7,32.3,81.6,32.0,1001.0,11.33,2377.6,2377.6,2378.6499999999996,2.099999999999909,0.0008824641761566202,0.05042652435180887,0.017499999999999308,1.6653345369377348e-16,0.2659722222222222,166.04618055555565,0.001601796688923136,0.49444444444444446
tuna_2379g,0,tuna_main,2026-08-26 11:08:11.000000,0.5833333333333334,29.083333333333336,124.30260416666674,197.16666666774222,197.16666666774222,2379.7,32.4,81.5,31.25,991.0,11.52,2378.0,2378.0,2378.6,1.699999999999818,0.0007143757616505518,0.05042652435180887,0.014166666666665204,-0.5999999999967256,0.309375,166.04618055555565,0.0018631864880293918,0.49444444444444446
tuna_2379g,0,tuna_main,2026-08-26 11:08:16.000000,0.6666666666666666,29.0,124.26979166666675,396.6666666688299,396.6666666688299,2379.7,32.4,81.5,31.5,981.0,11.69,2378.7,2378.7,2378.6,1.0,0.00042022103626507544,0.05042652435180887,0.008333333333333364,-0.2999999999983628,0.353125,166.04618055555565,0.0021266674055284976,0.49444444444444446
tuna_2379g,0,tuna_main,2026-08-26 11:08:21.000000,0.75,28.916666666666668,124.2367187500001,2379.999999999991,2379.999999999991,2379.7,32.5,81.4,31.75,972.0,11.8,2378.7,2378.7,2378.6,1.0,0.00042022103626507544,0.05042652435180887,0.008333333333333364,0.0,0.39722222222222225,166.04618055555565,0.0023922394414204536,0.49444444444444446
